SKU,Description,Ridgefield latte,Oxford latte,Ridgefield pastel,Oxford Pastel,,,,,,,
GD3042,"42"" High Glass Door",329,347,329,347,,,,,,B,
GD3642,"42"" High Glass Door",390,411,390,411,,,,,,B,
GDCW2442,"42"" High Corner Wall Glass Door",175,184,175,184,,,,,,B,
MW3030,"30"" Microwave Cabinet",577,606,577,606,,,,,,B,
MW3036,"36"" Microwave Cabinet",634,667,634,667,,,,,,B,
MW3042,"42"" Microwave Cabinet",657,691,657,691,,,,,,B,
PR3018,Plate Rack Cabinet,453,453,453,453,,,,,,B,
WR3018,Wine Rack Cabinet,476,476,476,476,,,,,,B,
WS630,"30"" High wall Knick Knack Shelf",183,183,183,183,,,,,,B,
WS636,"36"" High wall Knick Knack Shelf",213,213,213,213,,,,,,B,
WS642,"42"" High wall Knick Knack Shelf",234,234,234,234,,,,,,B,
WS1230,"30"" High wall Knick Knack Shelf",183,183,183,183,,,,,,B,
WS1236,"36"" High wall Knick Knack Shelf",213,213,213,213,,,,,,B,
WS1242,"42"" High wall Knick Knack Shelf",234,234,234,234,,,,,,B,
WEC1230,"30"" High Wall End Cabinet",258,271,258,271,,,,,,B,
WEC1236,"36"" High Wall End Cabinet",303,319,303,319,,,,,,B,
WEC1242,"42"" High Wall End Cabinet",349,368,349,368,,,,,,B,
B9,"9"" Base Cabinet",299,315,299,315,,,,,,B,
B12,"12"" Base Cabinet",330,347,330,347,,,,,,B,
B15,"15"" Base Cabinet",350,369,350,369,,,,,,B,
B18,"18"" Base Cabinet",366,384,366,384,,,,,,B,
B21,"21"" Base Cabinet",415,436,415,436,,,,,,B,
B24,"24"" Base Cabinet",447,470,447,470,,,,,,B,
B27,"27"" Base Cabinet",500,526,500,526,,,,,,B,
B30,"30"" Base Cabinet",528,554,528,554,,,,,,B,
B33,"33"" Base Cabinet",558,587,558,587,,,,,,B,
B36,"36"" Base Cabinet",584,614,584,614,,,,,,B,
B39,"39"" Base Cabinet",621,652,621,652,,,,,,B,
B42,"42"" Base Cabinet",691,726,691,726,,,,,,B,
BAC12FH,"12"" Base Angle Cabinet",408,429,408,429,,,,,,B,
BEC24,"24"" Base End Cabinet",691,727,691,727,,,,,,B,
DB12,"12"" 3-Drawer Base cabinet",590,621,590,621,,,,,,B,
DB15,"15"" 3-Drawer Base cabinet",633,666,633,666,,,,,,B,
DB18,"18"" 3-Drawer Base cabinet",672,707,672,707,,,,,,B,
DB24,"24"" 3-Drawer Base cabinet",800,842,800,842,,,,,,B,
DB30,"30"" 3-Drawer Base cabinet",878,924,878,924,,,,,,B,
DB36,"36"" 3-Drawer Base cabinet",918,966,918,966,,,,,,B,
BLB36/39,"36/39"" Blind Base Cabinet",539,567,539,567,,,,,,B,
BLB42/45,"42/45"" Blind Base Cabinet",609,640,609,640,,,,,,B,
BLB48/51,"48/51"" Blind Base Cabinet",701,737,701,737,,,,,,B,
CSF36,"36"" Corner Sink Front cabinet",190,200,190,200,,,,,,B,
CSFFL36,"36"" Corner Sink Front Floor",95,95,95,95,,,,,,B,
CSB36,"36"" Corner Sink Base cabinet",975,1026,975,1026,,,,,,B,
BLS33,"33"" Base Lazy Susan Cabinet",1228,1292,1228,1292,,,,,,B,
BLS36,"36"" Base Lazy Susan Cabinet",1235,1299,1235,1299,,,,,,B,
SB24,"24"" Sink Base Cabinet",393,414,393,414,,,,,,B,
SB27,"27"" Sink Base Cabinet",440,463,440,463,,,,,,B,
SB30,"30"" Sink Base Cabinet",463,486,463,486,,,,,,B,
SB33,"33"" Sink Base Cabinet",487,512,487,512,,,,,,B,
SB36,"36"" Sink Base Cabinet",494,520,494,520,,,,,,B,
SB39,"39"" Sink Base Cabinet",520,546,520,546,,,,,,B,
SB42,"42"" Sink Base Cabinet",541,569,541,569,,,,,,B,
SB48,"48"" Sink Base Cabinet",645,678,645,678,,,,,,B,
SB60,"60"" Sink Base Cabinet",774,812,774,812,,,,,,B,
FS30,"30"" Farm Sink Cabinet",1148,1208,1148,1208,,,,,,B,
FS33,"33"" Farm Sink Cabinet",1141,1201,1141,1201,,,,,,B,
FS36,"36"" Farm Sink Cabinet",1170,1231,1170,1231,,,,,,B,
UC1524X84,"84"" Utility Cabinet",1238,1303,1238,1303,,,,,,B,
UC1824x84,"84"" Utility Cabinet",1238,1303,1238,1303,,,,,,B,
UC1524X90,"90"" Utility Cabinet",1665,1729,1665,1729,,,,,,B,
UC1824x90,"90"" Utility Cabinet",1663,1727,1663,1727,,,,,,B,
UC1524X96,"96"" Utility Cabinet",1806,1870,1806,1870,,,,,,B,
UC1824x96,"96"" Utility Cabinet",1801,1865,1801,1865,,,,,,B,
UC2424x84,"84"" Utility Cabinet",1596,1660,1596,1660,,,,,,B,
