PRODUCT COLLECTION,PRODUCT ID,SIZE,FINISH,THICKNESS ,SQFT PER PIECE,PIECES PER BOX,SQFT PER BOX,U/M,PRICE / UOM,PRICE /  EACH,,Item Id,Web Link,Product Line,Material,Product Category,Item Description,Status,Source,Volume,Creation Date
ALASKAN GRAY SPLITFACE,SMOT-ALGRY-SFIL10MM,PATTERN,SPLITFACE,0.38 INCH,1.02,10,10.2,EACH,11.88,11.88,,SMOT-ALGRY-SFIL10MM,www.msisurfaces.com/mosaic-hatches/alaskan-gray-splitface/,MD,MARBLE,BACKSPLASH/WALL TILE/DECORATIVE MOSAICS,Alaskan Gray Splitface,MSI,Q1-2019 Price List,NEW,12-Nov-15
ANGORA BASKETWEAVE,SMOT-ANGORA-BWP10MM,PATTERN,MISC.,0.38 INCH,1,10,10,EACH,9.88,9.88,,SMOT-ANGORA-BWP10MM,www.msisurfaces.com/glass-mosaics/angora-basketweave-polished/,MD,MARBLE,BACKSPLASH/WALL TILE/DECORATIVE MOSAICS,Angora Basketweave,MSI,Q1-2019 Price List,NEW,7-Jun-17
ANGORA FRAMEWORK,SMOT-ANGORA-FRM10MM,PATTERN,MISC.,0.38 INCH,1,10,10,EACH,12.76,12.76,,SMOT-ANGORA-FRM10MM,www.msisurfaces.com/glass-mosaics/angora-framework-subway-polished/,MD,MARBLE,BACKSPLASH/WALL TILE/DECORATIVE MOSAICS,Angora Framework,MSI,Q1-2019 Price List,NEW,7-Jun-17
ANGORA HERRINGBONE,SMOT-ANGORA-HBP,1x3,POLISHED,0.38 INCH,1,10,10,EACH,10.98,10.98,,SMOT-ANGORA-HBP,www.msisurfaces.com/glass-mosaics/angora-herringbone-polished/,MD,MARBLE,BACKSPLASH/WALL TILE/DECORATIVE MOSAICS,Angora Herringbone,MSI,Q1-2019 Price List,NEW,18-Jan-18
ANKARA METAL STONE,SMOT-SMTL-ANKARA6MM,MISC.,MISC.,0.24 INCH,1.05,15,15.75,EACH,12.19,12.19,,SMOT-SMTL-ANKARA6MM,www.msisurfaces.com/glass-stone-blend-designs/ankara-6mm/,MD,MISC.,BACKSPLASH/WALL TILE/DECORATIVE MOSAICS,Ankara 6mm,MSI,Q1-2019 Price List,NEW,18-Jan-18
ANTICO PEWTER INTERLOCKING,SMOT-GLSIL-ANTPEW8MM,PATTERN,MISC.,0.31 INCH,0.97,10,9.7,EACH,11.26,11.26,,SMOT-GLSIL-ANTPEW8MM,www.msisurfaces.com/glass-mosaics/antico-pewter-interlocking-pattern-8mm/,MD,GLASS,BACKSPLASH/WALL TILE/DECORATIVE MOSAICS,Antico Pewter Interlocking 8mm,MSI,Q1-2019 Price List,NEW,7-Jun-16
ANTICO PEWTER SUBWAY 4X12,SMOT-GL-T-ANTPEW412,4x12,MISC.,0.31 INCH,0.33,6,1.98,SQFT,13.88,4.58,,SMOT-GL-T-ANTPEW412,www.msisurfaces.com/glass-mosaics/antico-pewter-subway-tile/,MD,GLASS,BACKSPLASH/WALL TILE/DECORATIVE MOSAICS,Antico Pewter Subway 4x12,MSI,Q1-2019 Price List,NEW,7-Jun-16
ANTICO SILVERSMITH INTERLOCKING,SMOT-GLSIL-ANTSIL8MM,PATTERN,MISC.,0.31 INCH,0.97,10,9.7,EACH,11.26,11.26,,SMOT-GLSIL-ANTSIL8MM,www.msisurfaces.com/glass-mosaics/antico-silversmith-interlocking-pattern-8mm/,MD,GLASS,BACKSPLASH/WALL TILE/DECORATIVE MOSAICS,Antico Silversmith Interlocking 8mm,MSI,Q1-2019 Price List,NEW,7-Jun-16
ANTICO SILVERSMITH SUBWAY 4X12,SMOT-GL-T-ANTSIL412,4x12,MISC.,0.31 INCH,0.33,6,1.98,SQFT,13.88,4.58,,SMOT-GL-T-ANTSIL412,www.msisurfaces.com/glass-mosaics/antico-silversmith-subway-tile/,MD,GLASS,BACKSPLASH/WALL TILE/DECORATIVE MOSAICS,Antico Silversmith Subway 4x12,MSI,Q1-2019 Price List,NEW,7-Jun-16
ANYA BLANCO 2X2,SMOT-PT-ANYBLA6MM,2x2,GLOSSY,0.24 INCH,0.97,15,14.55,EACH,7.68,7.68,,SMOT-PT-ANYBLA6MM,www.msisurfaces.com/ceramic-mosaics/anya-blanco-2x2x6mm/,MD,PORCELAIN,BACKSPLASH/WALL TILE/DECORATIVE MOSAICS,Anya Blanco 2x2x6mm,MSI,Q1-2019 Price List,NEW,8-Aug-17
ANYA CHARCOAL 2X2,SMOT-PT-ANYCHA6MM,2x2,GLOSSY,0.24 INCH,0.97,15,14.55,EACH,7.68,7.68,,SMOT-PT-ANYCHA6MM,www.msisurfaces.com/ceramic-mosaics/anya-charcoal-2x2x6mm/,MD,PORCELAIN,BACKSPLASH/WALL TILE/DECORATIVE MOSAICS,Anya Charcoal 2x2x6mm,MSI,Q1-2019 Price List,NEW,8-Aug-17
ARCTIC ICE 1X2,THDWG-CR-AI-8MM,1x2,MISC.,0.31 INCH,1,10,10,EACH,7.48,7.48,,THDWG-CR-AI-8MM,www.msisurfaces.com/crystallized-glass-8mm/arctic-ice-1x2x8mm/,MD,GLASS,BACKSPLASH/WALL TILE/DECORATIVE MOSAICS,Arctic Ice 1x2x8mm,MSI,Q1-2019 Price List,MATURE,13-Nov-09
