* Color Green highlighted items are launched in last 6 months,,,,,,,,,,,,,,,,,,,,,,,,
*Items highlighted in Orange will have a rolling change in pieces per box or boxes per pallet packaging in 2020.  These will be communicated as the old inventory depletes and the new inventory with new packaging arrives,,,,,,,,,,,,,,,,,,,,,,,,
PRODUCT COLLECTION,ItemNumber,SIZE,FINISH,THICKNESS ,SQFT PER PIECE,PIECES PER BOX,SQFT PER BOX,U/M,PRICE / UOM,PRICE /  EACH,,ItemNumber,Web Link,Product Line,Material,Product Category,PRODUCT COLLECTION,Description,Status,Source,Creation Date,Comments,,
ANGORA BASKETWEAVE,SMOT-ANGORA-BWP10MM,PATTERN,MISC.,0.38 INCH,1.00,10.00,10.00,EACH,9.88,9.88,,SMOT-ANGORA-BWP10MM,https://www.msisurfaces.com/glass-mosaics/angora-basketweave-polished/,MD,MARBLE,BACKSPLASH/WALL TILE/DECORATIVE MOSAICS,ANGORA BASKETWEAVE,Angora Basketweave,MSI,2019 Price list,7-Jun-17,,,
ANGORA FRAMEWORK,SMOT-ANGORA-FRM10MM,PATTERN,MISC.,0.38 INCH,1.00,10.00,10.00,EACH,12.76,12.76,,SMOT-ANGORA-FRM10MM,https://www.msisurfaces.com/glass-mosaics/angora-framework-subway-polished/,MD,MARBLE,BACKSPLASH/WALL TILE/DECORATIVE MOSAICS,ANGORA FRAMEWORK,Angora Framework,MSI,2019 Price list,7-Jun-17,,,
ANGORA HERRINGBONE,SMOT-ANGORA-HBP,1x3,POLISHED,0.38 INCH,1.00,10.00,10.00,EACH,10.98,10.98,,SMOT-ANGORA-HBP,https://www.msisurfaces.com/glass-mosaics/angora-herringbone-polished/,MD,MARBLE,BACKSPLASH/WALL TILE/DECORATIVE MOSAICS,ANGORA HERRINGBONE,Angora Herringbone,MSI,2019 Price list,18-Jan-18,,,
ANKARA METAL STONE,SMOT-SMTL-ANKARA6MM,MISC.,MISC.,0.24 INCH,1.05,15.00,15.75,EACH,12.19,12.19,,SMOT-SMTL-ANKARA6MM,https://www.msisurfaces.com/glass-stone-blend-designs/ankara-6mm/,MD,MISC.,BACKSPLASH/WALL TILE/DECORATIVE MOSAICS,ANKARA METAL STONE,Ankara 6mm,MSI,2019 Price list,18-Jan-18,,,
ANTICO PEWTER INTERLOCKING,SMOT-GLSIL-ANTPEW8MM,PATTERN,MISC.,0.31 INCH,0.97,10.00,9.70,EACH,11.26,11.26,,SMOT-GLSIL-ANTPEW8MM,https://www.msisurfaces.com/glass-mosaics/antico-pewter-interlocking-pattern-8mm/,MD,GLASS,BACKSPLASH/WALL TILE/DECORATIVE MOSAICS,ANTICO PEWTER INTERLOCKING,Antico Pewter Interlocking 8mm,MSI,2019 Price list,7-Jun-16,,,
ANTICO PEWTER SUBWAY 4X12,SMOT-GL-T-ANTPEW412,4x12,MISC.,0.31 INCH,0.33,6.00,1.98,SQFT,13.88,4.58,,SMOT-GL-T-ANTPEW412,https://www.msisurfaces.com/glass-mosaics/antico-pewter-subway-tile/,MD,GLASS,BACKSPLASH/WALL TILE/DECORATIVE MOSAICS,ANTICO PEWTER SUBWAY 4X12,Antico Pewter Subway 4x12,MSI,2019 Price list,7-Jun-16,,,
ANTICO SILVERSMITH INTERLOCKING,SMOT-GLSIL-ANTSIL8MM,PATTERN,MISC.,0.31 INCH,0.97,10.00,9.70,EACH,11.26,11.26,,SMOT-GLSIL-ANTSIL8MM,https://www.msisurfaces.com/glass-mosaics/antico-silversmith-interlocking-pattern-8mm/,MD,GLASS,BACKSPLASH/WALL TILE/DECORATIVE MOSAICS,ANTICO SILVERSMITH INTERLOCKING,Antico Silversmith Interlocking 8mm,MSI,2019 Price list,7-Jun-16,,,
ANTICO SILVERSMITH SUBWAY 4X12,SMOT-GL-T-ANTSIL412,4x12,MISC.,0.31 INCH,0.33,6.00,1.98,SQFT,13.88,4.58,,SMOT-GL-T-ANTSIL412,https://www.msisurfaces.com/glass-mosaics/antico-silversmith-subway-tile/,MD,GLASS,BACKSPLASH/WALL TILE/DECORATIVE MOSAICS,ANTICO SILVERSMITH SUBWAY 4X12,Antico Silversmith Subway 4x12,MSI,2019 Price list,7-Jun-16,,,
ANYA BLANCO 2X2,SMOT-PT-ANYBLA6MM,2x2,GLOSSY,0.24 INCH,0.97,15.00,14.55,EACH,7.68,7.68,,SMOT-PT-ANYBLA6MM,https://www.msisurfaces.com/ceramic-mosaics/anya-blanco-2x2x6mm/,MD,PORCELAIN,BACKSPLASH/WALL TILE/DECORATIVE MOSAICS,ANYA BLANCO 2X2,Anya Blanco 2x2x6mm,MSI,2019 Price list,8-Aug-17,,,
ANYA CHARCOAL 2X2,SMOT-PT-ANYCHA6MM,2x2,GLOSSY,0.24 INCH,0.97,15.00,14.55,EACH,7.68,7.68,,SMOT-PT-ANYCHA6MM,https://www.msisurfaces.com/ceramic-mosaics/anya-charcoal-2x2x6mm/,MD,PORCELAIN,BACKSPLASH/WALL TILE/DECORATIVE MOSAICS,ANYA CHARCOAL 2X2,Anya Charcoal 2x2x6mm,MSI,2019 Price list,8-Aug-17,,,
ARCTIC ICE 1X2,THDWG-CR-AI-8MM,1x2,MISC.,0.31 INCH,1.00,10.00,10.00,EACH,7.48,7.48,,THDWG-CR-AI-8MM,https://www.msisurfaces.com/crystallized-glass-8mm/arctic-ice-1x2x8mm/,MD,GLASS,BACKSPLASH/WALL TILE/DECORATIVE MOSAICS,ARCTIC ICE 1X2,Arctic Ice 1x2x8mm,MSI,2019 Price list,13-Nov-09,,,
ARCTIC ICE 3X6,SMOT-GL-T-AI36,3X6,MISC.,0.31 INCH,0.13,8.00,1.00,SQFT,8.16,1.02,,SMOT-GL-T-AI36,https://www.msisurfaces.com/glass-tiles-8mm/arctic-ice-3x6/,MD,GLASS,BACKSPLASH/WALL TILE/DECORATIVE MOSAICS,ARCTIC ICE 3X6,Arctic Ice 3x6x8mm,MSI,2019 Price list,1-Jun-11,,,
ARCTIC ICE 4X12,SMOT-GL-T-AI412,4x12,MISC.,0.31 INCH,0.33,15.00,5.00,SQFT,8.11,2.70,,SMOT-GL-T-AI412,https://www.msisurfaces.com/glass-tiles-8mm/arctic-ice-subway-tile-4x12/,MD,GLASS,BACKSPLASH/WALL TILE/DECORATIVE MOSAICS,ARCTIC ICE 4X12,Arctic Ice 4x12x8mm,MSI,2019 Price list,11-Mar-15,,,
ARCTIC ICE 6X12,SMOT-GL-T-AI612,6x12,MISC.,0.31 INCH,0.50,10.00,5.00,SQFT,8.12,4.06,,SMOT-GL-T-AI612,https://www.msisurfaces.com/glass-tiles-8mm/arctic-ice-6x12/,MD,GLASS,BACKSPLASH/WALL TILE/DECORATIVE MOSAICS,ARCTIC ICE 6X12,Arctic Ice 6x12x8mm,MSI,2019 Price list,1-Jun-11,,,
ARCTIC ICE SUBWAY 2X4,SMOT-GLSST-AI8MM,2X4,MISC.,0.31 INCH,1.00,10.00,10.00,EACH,8.11,8.11,,SMOT-GLSST-AI8MM,https://www.msisurfaces.com/subway-glass-8mm/arctic-ice-subway-tile/,MD,GLASS,BACKSPLASH/WALL TILE/DECORATIVE MOSAICS,ARCTIC ICE SUBWAY 2X4,Arctic Ice Subway 2x4x8mm,MSI,2019 Price list,1-Nov-10,,,
ARCTIC STORM,SMOT-AS-10MM,PATTERN,HONED,0.38 INCH,0.98,10.00,9.80,EACH,8.74,8.74,,SMOT-AS-10MM,https://www.msisurfaces.com/mosaic-hatches/arctic-storm/,MD,MARBLE,BACKSPLASH/WALL TILE/DECORATIVE MOSAICS,ARCTIC STORM,Arctic Storm 5/8x2 Honed,MSI,2019 Price list,14-May-12,,,
ARCTIC STORM ARABESQUE MULTI FINISH,SMOT-AS-ARABESQUE,PATTERN,MISC.,0.38 INCH,1.05,10.00,10.50,EACH,18.79,18.79,,SMOT-AS-ARABESQUE,https://www.msisurfaces.com/white-oak/arctic-storm-arabesque/,MD,MARBLE,BACKSPLASH/WALL TILE/DECORATIVE MOSAICS,ARCTIC STORM ARABESQUE MULTI FINISH,Arctic Storm Arabesque Multi Finish,MSI,2019 Price list,1-Jun-15,,,
