* Color Green highlighted items are launched in last 6 months,,,,,,,,,,,,,,,,,,,,,,,,
*Items highlighted in Orange will have a rolling change in pieces per box or boxes per pallet packaging in 2020.  These will be communicated as the old inventory depletes and the new inventory with new packaging arrives,,,,,,,,,,,,,,,,,,,,,,,,
PRODUCT COLLECTION,ItemNumber,SIZE,FINISH,THICKNESS ,SQFT PER PIECE,PIECES PER BOX,SQFT PER BOX,U/M,PRICE / UOM,PRICE /  EACH,,ItemNumber,Web Link,Product Line,Material,Product Category,PRODUCT COLLECTION,Description,Status,Source,Creation Date,Comments,,
VERDE AZUL BEVELED,SMOT-GL-T-VERAZU2.5X8,2.5X8,MISC.,0.31 INCH,0.14,40.00,5.60,SQFT,12.86,1.80,,SMOT-GL-T-VERAZU2.5X8,https://www.msistone.com/glass-mosaics/verde-azul-2.5x8x8mm-beveled/,MD,GLASS,BACKSPLASH/WALL TILE/DECORATIVE MOSAICS,VERDE AZUL BEVELED,Verde Azul 2.5x8x8mm Beveled,MSI,2019 Price list,21-Mar-18,,,
VICTORIAN LIGHT ARABESQUE,SMOT-PT-VICLTARAB8MM,PATTERN,GLOSSY,0.31 INCH,1.04,10.00,10.40,EACH,8.13,8.13,,SMOT-PT-VICLTARAB8MM,https://www.msisurfaces.com/glass-mosaics/victorian-light-arabesque-8mm/,MD,PORCELAIN,BACKSPLASH/WALL TILE/DECORATIVE MOSAICS,VICTORIAN LIGHT ARABESQUE,Victorian Light Arabesque 8mm,MSI,2019 Price list,31-Oct-18,,,
VISTA AZUL HEXAGON,SMOT-GLS-VISAZU6MM,PATTERN,MATTE,0.24 INCH,0.98,15.00,14.70,EACH,9.74,9.74,,SMOT-GLS-VISAZU6MM,https://www.msisurfaces.com/glass-mosaics/vista-azul-hexagon-6mm/,MD,GLASS,BACKSPLASH/WALL TILE/DECORATIVE MOSAICS,VISTA AZUL HEXAGON,Vista Azul Hexagon 6mm,MSI,2019 Price list,31-Oct-18,,,
VOLCANIC LUXE INTERLOCKING,SMOT-GLSMTIL-VOLLX8MM,MISC.,MISC.,0.31 INCH,0.95,10.00,9.50,EACH,12.15,12.15,,SMOT-GLSMTIL-VOLLX8MM,https://www.msisurfaces.com/glass-stone-blend-designs/volcanic-luxe-interlocking-8mm/,MD,MISC.,BACKSPLASH/WALL TILE/DECORATIVE MOSAICS,VOLCANIC LUXE INTERLOCKING,Volcanic Luxe Interlocking 8mm,MSI,2019 Price list,18-Jan-18,,,
WHISTLER ICE INTERLOCKING,SMOT-GLSPIL-WHISTIC8MM,PATTERN,MISC.,0.31 INCH,0.97,10.00,9.70,EACH,8.91,8.91,,SMOT-GLSPIL-WHISTIC8MM,https://www.msisurfaces.com/porcelain-glass-blend/whistler-ice-interlocking-8mm/,MD,GLASS,BACKSPLASH/WALL TILE/DECORATIVE MOSAICS,WHISTLER ICE INTERLOCKING,Whistler Ice Interlocking 8mm,MSI,2019 Price list,2-Jun-17,,,
WHITE QUARRY CHEVRON,SMOT-WQ-CHEVRON10MM,PATTERN,MISC.,0.38 INCH,1.00,10.00,10.00,EACH,12.50,12.50,,SMOT-WQ-CHEVRON10MM,https://www.msisurfaces.com/white-oak/white-quarry-chevron/,MD,MOSAIC,BACKSPLASH/WALL TILE/DECORATIVE MOSAICS,WHITE QUARRY CHEVRON,White Quarry Chevron 10mm,MSI,2019 Price list,26-Mar-14,,,
WHITE QUARRY INTERLOCKING 3D PEEL&STICK MOSAIC,SMOT-PNS-WQIL3D-6MM,PATTERN,HONED,0.24 INCH,1.00,15.00,15.00,EACH,8.85,8.85,,SMOT-PNS-WQIL3D-6MM,https://www.msisurfaces.com/stick-wall-tile/white-quarry-interlocking-3d/,MD,MARBLE,BACKSPLASH/WALL TILE/DECORATIVE MOSAICS,WHITE QUARRY INTERLOCKING 3D PEEL&STICK MOSAIC,White Quarry Interlocking 3D Peel&Stick,MSI,2019 Price list,19-Oct-16,,,
WHITE QUARRY INTERLOCKING MOSAIC,SMOT-WQ-ILH10MM,PATTERN,HONED,0.38 INCH,1.00,10.00,10.00,EACH,11.36,11.36,,SMOT-WQ-ILH10MM,https://www.msisurfaces.com/white-oak/white-quarry-interlocking/,MD,MARBLE,BACKSPLASH/WALL TILE/DECORATIVE MOSAICS,WHITE QUARRY INTERLOCKING MOSAIC,White Quarry Interlocking Pattern Honed,MSI,2019 Price list,10-Oct-13,,,
WHITE QUARRY SAVONA MOSAIC,SMOT-WQSAV-HON10MM,PATTERN,POLISHED,0.38 INCH,0.97,10.00,9.70,EACH,19.51,19.51,,SMOT-WQSAV-HON10MM,https://www.msisurfaces.com/glass-mosaics/white-quarry-savona/,MD,MARBLE,BACKSPLASH/WALL TILE/DECORATIVE MOSAICS,WHITE QUARRY SAVONA MOSAIC,White Quarry Savona,MSI,2019 Price list,21-Mar-18,,,
WHITE QUARRY SPLITFACE MOSAIC,SMOT-WQ-SFIL10MM,PATTERN,SPLIT HON,0.38 INCH,1.00,10.00,10.00,EACH,10.97,10.97,,SMOT-WQ-SFIL10MM,https://www.msisurfaces.com/white-oak/white-quarry-splitface/,MD,MARBLE,BACKSPLASH/WALL TILE/DECORATIVE MOSAICS,WHITE QUARRY SPLITFACE MOSAIC,White Quarry Split Face,MSI,2019 Price list,14-Mar-13,,,
WHITE WAVE INTERLOCKING,SMOT-SGLSMTIL-WHTWA4MM,PATTERN,MISC.,0.16 INCH,1.00,20.00,20.00,EACH,7.48,7.48,,SMOT-SGLSMTIL-WHTWA4MM,https://www.msisurfaces.com/glass-metal-blend/white-wave-interlocking/,MD,MOSAIC,BACKSPLASH/WALL TILE/DECORATIVE MOSAICS,WHITE WAVE INTERLOCKING,White Wave Interlocking 4mm,MSI,2019 Price list,12-Nov-15,,,
WINTER OAK VENEER PEEL AND STICK MOSAIC,SMOT-PNS-VNR-WG6MM,PATTERN,HONED,0.24 INCH,0.92,15.00,13.80,EACH,6.15,6.15,,SMOT-PNS-VNR-WG6MM,https://www.msisurfaces.com/stick-wall-tile/winter-oak-veneer/,MD,MARBLE,BACKSPLASH/WALL TILE/DECORATIVE MOSAICS,WINTER OAK VENEER PEEL AND STICK MOSAIC,Winter Oak Veneer Peel and Stick,MSI,2019 Price list,5-Dec-16,,,
ZAMORA INTERLOCKING,SMOT-GLSIL-ZAMO8MM,PATTERN,MISC.,0.31 INCH,1.00,10.00,10.00,EACH,12.75,12.75,,SMOT-GLSIL-ZAMO8MM,https://www.msisurfaces.com/glass-stone-blend-designs/zamora-interlocking-8mm/,MD,MISC.,BACKSPLASH/WALL TILE/DECORATIVE MOSAICS,ZAMORA INTERLOCKING,Zamora Interlocking 8mm,MSI,2019 Price list,23-Feb-17,,,
ZIRCONIA INTERLOCKING,SMOT-GLSIL-ZIRCONIA8MM,PATTERN,MISC.,0.31 INCH,0.97,10.00,9.70,EACH,12.88,12.88,,SMOT-GLSIL-ZIRCONIA8MM,https://www.msisurfaces.com/crystallized-glass-blend-8mm/zirconia-interlocking/,MD,GLASS,BACKSPLASH/WALL TILE/DECORATIVE MOSAICS,ZIRCONIA INTERLOCKING,Zirconia Interlocking 8mm,MSI,2019 Price list,18-Nov-14,,,
ZODIA INTERLOCKING,SMOT-GLSIL-ZODIA6MM,PATTERN,MISC.,0.24 INCH,0.97,15.00,14.55,EACH,9.74,9.74,,SMOT-GLSIL-ZODIA6MM,https://www.msisurfaces.com/glass-mosaics/zodia-interlocking-6mm/,MD,GLASS,BACKSPLASH/WALL TILE/DECORATIVE MOSAICS,ZODIA INTERLOCKING,Zodia Interlocking 6mm,MSI,2019 Price list,23-Feb-17,,,
BACKSPLASH/WALL TILE/DECORATIVE MOSAICS - DOMINO COLLECTION,,,,,,,,,,,,,,,,BACKSPLASH/WALL TILE/DECORATIVE MOSAICS - DOMINO COLLECTION,BACKSPLASH/WALL TILE/DECORATIVE MOSAICS - DOMINO COLLECTION,,MSI,,,,,
ALMOND GLOSSY 3X6,NALMGLO3X6,3X6,GLOSSY,0.25 INCH,0.13,136.00,17.00,SQFT,2.00,0.25,,NALMGLO3X6,https://www.msisurfaces.com/ceramic-mosaics/almond-glossy-subway-tile-3x6/,PT,CERAMIC,BACKSPLASH/WALL TILE/DECORATIVE MOSAICS - DOMINO COLLECTION,ALMOND GLOSSY 3X6,ALMOND GLOSSY 3X6,MSI,2019 Price list,31-Dec-12,,,
ALMOND GLOSSY 3X6 (2020),NALMGLO3X6-N,3X6,GLOSSY,0.33 INCH,0.13,88.00,11.00,SQFT,2.00,0.25,,NALMGLO3X6-N,#N/A,PT,CERAMIC,BACKSPLASH/WALL TILE/DECORATIVE MOSAICS - DOMINO COLLECTION,ALMOND GLOSSY 3X6 (2020),ALMOND GLOSSY 3X6,MSI,New Addtion,7-Nov-19,,,
ALMOND GLOSSY 3X6 BEVELED,NALMGLO3X6BEV,3X6,GLOSSY,0.25 INCH,0.13,116.00,14.50,SQFT,2.16,0.27,,NALMGLO3X6BEV,https://www.msisurfaces.com/ceramic-mosaics/almond-glossy-subway-tile3x6-beveled/,PT,CERAMIC,BACKSPLASH/WALL TILE/DECORATIVE MOSAICS - DOMINO COLLECTION,ALMOND GLOSSY 3X6 BEVELED,ALMOND GLOSSY 3X6 BEVELED,MSI,2019 Price list,31-Dec-12,,,
ALMOND GLOSSY 3X6 BEVELED (2020),NALMGLO3X6BEV-N,3X6,GLOSSY,0.33 INCH,0.13,88.00,11.00,SQFT,2.16,0.27,,NALMGLO3X6BEV-N,https://www.msisurfaces.com/ceramic-mosaics/almond-glossy-subway-tile3x6-beveled/,PT,CERAMIC,BACKSPLASH/WALL TILE/DECORATIVE MOSAICS - DOMINO COLLECTION,ALMOND GLOSSY 3X6 BEVELED (2020),ALMOND GLOSSY 3X6 BEVELED,MSI,New Addtion,7-Nov-19,,,
ALMOND GLOSSY 3X6 BULL NOSE,NALMGLO3X6BN,3X6,GLOSSY,0.25 INCH,0.13,136.00,N/A,EACH,1.13,1.13,,NALMGLO3X6BN,https://www.msisurfaces.com/ceramic-mosaics/almond-glossy-3x6-bull-nose/,PT,CERAMIC,BACKSPLASH/WALL TILE/DECORATIVE MOSAICS - DOMINO COLLECTION,ALMOND GLOSSY 3X6 BULL NOSE,ALMOND GLOSSY 3X6SINGLE BULL NOSE,MSI,2019 Price list,31-Dec-12,,,
ALMOND GLOSSY 3X6 BULL NOSE (2020),NALMGLO3X6BN-N,3X6,GLOSSY,0.33 INCH,0.13,88.00,11.00,EACH,1.13,1.13,,NALMGLO3X6BN-N,https://www.msisurfaces.com/ceramic-mosaics/almond-glossy-3x6-bull-nose/,PT,CERAMIC,BACKSPLASH/WALL TILE/DECORATIVE MOSAICS - DOMINO COLLECTION,ALMOND GLOSSY 3X6 BULL NOSE (2020),ALMOND GLOSSY 3X6SINGLE BULL NOSE,MSI,New Addtion,7-Nov-19,,,
ALMOND GLOSSY 3X6 INVERTED BEVELED,NALMGLO3X6INVBEV,3X6,GLOSSY,0.25 INCH,0.13,120.00,15.00,SQFT,2.16,0.27,,NALMGLO3X6INVBEV,https://www.msisurfaces.com/domino/almond-glossy-3x6-inverted-beveled/,PT,CERAMIC,BACKSPLASH/WALL TILE/DECORATIVE MOSAICS - DOMINO COLLECTION,ALMOND GLOSSY 3X6 INVERTED BEVELED,ALMOND GLOSSY 3X6 INVERTED BEVELE,MSI,2019 Price list,27-Apr-17,,,
ALMOND GLOSSY 3X6 INVERTED BEVELED (2020),NALMGLO3X6INVBEV-N,3X6,GLOSSY,0.33 INCH,0.13,88.00,11.00,SQFT,2.16,0.27,,NALMGLO3X6INVBEV-N,https://www.msisurfaces.com/domino/almond-glossy-3x6-inverted-beveled/,PT,CERAMIC,BACKSPLASH/WALL TILE/DECORATIVE MOSAICS - DOMINO COLLECTION,ALMOND GLOSSY 3X6 INVERTED BEVELED (2020),ALMOND GLOSSY 3X6 INVERTED BEVELE,MSI,New Addtion,7-Nov-19,,,
ALMOND GLOSSY 4X16,NALMGLO4X16,4x16,GLOSSY,0.25 INCH,0.44,25.00,11.10,SQFT,1.42,0.63,,NALMGLO4X16,https://www.msisurfaces.com/ceramic-mosaics/almond-glossy-subway-4x16/,PT,CERAMIC,BACKSPLASH/WALL TILE/DECORATIVE MOSAICS - DOMINO COLLECTION,ALMOND GLOSSY 4X16,ALMOND GLOSSY 4X16,MSI,2019 Price list,28-Dec-12,,,
ALMOND GLOSSY 4X16 (2020),NALMGLO4X16-N,4x16,GLOSSY,0.33 INCH,0.44,20.00,8.88,SQFT,1.42,0.63,,NALMGLO4X16-N,https://www.msisurfaces.com/ceramic-mosaics/almond-glossy-subway-4x16/,PT,CERAMIC,BACKSPLASH/WALL TILE/DECORATIVE MOSAICS - DOMINO COLLECTION,ALMOND GLOSSY 4X16 (2020),ALMOND GLOSSY 4X16,MSI,New Addtion,7-Nov-19,,,
ALMOND GLOSSY 4X16 BULL NOSE,NALMGLO4X16SBN,4x16,GLOSSY,0.35 INCH,0.44,25.00,11.11,EACH,2.68,2.68,,NALMGLO4X16SBN,https://www.msisurfaces.com/ceramic-mosaics/almond-glossy-4x16-bullnose/,PT,CERAMIC,BACKSPLASH/WALL TILE/DECORATIVE MOSAICS - DOMINO COLLECTION,ALMOND GLOSSY 4X16 BULL NOSE,ALMOND GLOSSY4X16SINGLE BULL NOSE,MSI,2019 Price list,31-Dec-12,,,
ALMOND GLOSSY 4X16 BULL NOSE (2020),NALMGLO4X16SBN-N,4x16,GLOSSY,0.33 INCH,0.44,20.00,8.88,EACH,2.68,2.68,,NALMGLO4X16SBN-N,https://www.msisurfaces.com/ceramic-mosaics/almond-glossy-4x16-bullnose/,PT,CERAMIC,BACKSPLASH/WALL TILE/DECORATIVE MOSAICS - DOMINO COLLECTION,ALMOND GLOSSY 4X16 BULL NOSE (2020),ALMOND GLOSSY4X16SINGLE BULL NOSE,MSI,New Addtion,7-Nov-19,,,
ALMOND GLOSSY ARABESQUE,NALMARAG,MISC.,GLOSSY,0.39 INCH,0.77,20.00,15.46,EACH,4.73,4.73,,NALMARAG,https://www.msisurfaces.com/domino/almond-glossy-arabesque-mosaics/,PT,PORCELAIN,BACKSPLASH/WALL TILE/DECORATIVE MOSAICS - DOMINO COLLECTION,ALMOND GLOSSY ARABESQUE,ALMOND GLOSSY ARABESQUE MOSAIC,MSI,2019 Price list,12-May-17,,,
ALMOND GLOSSY CHAIR RAIL MOLDING,NALMGLOCHARAI2X6,2x6,GLOSSY,0.35 INCH,N/A,45.00,N/A,EACH,4.47,4.47,,NALMGLOCHARAI2X6,#N/A,PT,CERAMIC,BACKSPLASH/WALL TILE/DECORATIVE MOSAICS - DOMINO COLLECTION,ALMOND GLOSSY CHAIR RAIL MOLDING,ALMOND GLOSYCHAIR RAIL MOLDIN2X6,MSI,2019 Price list,27-Feb-18,,,
ALMOND GLOSSY FISH SCALE,NALMFISG,N/A,GLOSSY,0.39 INCH,0.76,17.00,12.94,EACH,4.73,4.73,,NALMFISG,https://www.msisurfaces.com/domino/almond-glossy-fish-scale-mosaics/,PT,PORCELAIN,BACKSPLASH/WALL TILE/DECORATIVE MOSAICS - DOMINO COLLECTION,ALMOND GLOSSY FISH SCALE,ALMOND GLOSSY FISH SCALE MOSAIC,MSI,2019 Price list,12-May-17,,,
ALMOND GLOSSY HERRINGBONE,NALMHBG,MISC.,GLOSSY,0.39 INCH,0.85,20.00,16.90,EACH,4.73,4.73,,NALMHBG,https://www.msisurfaces.com/domino/almond-glossy-herringbone-mosaics/,PT,PORCELAIN,BACKSPLASH/WALL TILE/DECORATIVE MOSAICS - DOMINO COLLECTION,ALMOND GLOSSY HERRINGBONE,ALMOND GLOSSY HERRINGBONE MOSAIC,MSI,2019 Price list,12-May-17,,,
ALMOND GLOSSY PENCIL MOLDING,NALMGLO-PENCIL,MISC.,GLOSSY,0.29 INCH,N/A,100.00,N/A,EACH,2.17,2.17,,NALMGLO-PENCIL,https://www.msisurfaces.com/ceramic-mosaics/almond-glossy-pencil-molding/,PT,CERAMIC,BACKSPLASH/WALL TILE/DECORATIVE MOSAICS - DOMINO COLLECTION,ALMOND GLOSSY PENCIL MOLDING,ALMOND GLOSSY PENCIL MOLDING,MSI,2019 Price list,27-Oct-17,,,
ALMOND GLOSSY PENNY ROUND,NALMPENROU,MISC.,GLOSSY,0.39 INCH,1.00,20.00,19.93,EACH,5.06,5.06,,NALMPENROU,https://www.msisurfaces.com/domino/almond-glossy-penny-round-mosaics/,PT,PORCELAIN,BACKSPLASH/WALL TILE/DECORATIVE MOSAICS - DOMINO COLLECTION,ALMOND GLOSSY PENNY ROUND,ALMOND GLOSSY PENNY ROUND MOSAIC,MSI,2019 Price list,12-May-17,,,
BLACK 2X2 MATTE,NBLA2X2,2x2,MATTE,0.38 INCH,1.00,8.00,8.00,EACH,5.06,5.06,,NBLA2X2,https://www.msisurfaces.com/domino/black-2x2-matte/,PT,PORCELAIN,BACKSPLASH/WALL TILE/DECORATIVE MOSAICS - DOMINO COLLECTION,BLACK 2X2 MATTE,BLACK 2X2 MATTE,MSI,2019 Price list,15-Aug-18,,,
BLACK 2X2 POLISHED,NBLA2X2P,2x2,POLISHED,0.38 INCH,1.00,8.00,8.00,EACH,3.82,3.82,,NBLA2X2P,https://www.msisurfaces.com/domino/black-2x2-polished/,PT,PORCELAIN,BACKSPLASH/WALL TILE/DECORATIVE MOSAICS - DOMINO COLLECTION,BLACK 2X2 POLISHED,BLACK 2X2 POLISHED MOSAIC,MSI,2019 Price list,15-Aug-18,,,
BLACK AND WHITE 1X1 HEXAGON,NBLAWHI1X1HEX,1x1,MATTE,0.31 INCH,0.83,23.00,20.75,EACH,3.70,3.70,,NBLAWHI1X1HEX,https://www.msisurfaces.com/domino/black-and-white-1X1-hexagon-matte/,PT,PORCELAIN,BACKSPLASH/WALL TILE/DECORATIVE MOSAICS - DOMINO COLLECTION,BLACK AND WHITE 1X1 HEXAGON,BLACK AND WHITE 1X1 HEXAGON MATTE,MSI,2019 Price list,11-Sep-17,,,
BLACK GLOSSY PENNY ROUND,NBLAPENROU,N/A,GLOSSY,0.39 INCH,1.00,20.00,19.93,EACH,5.06,5.06,,NBLAPENROU,https://www.msisurfaces.com/domino/black-glossy-penny-round-mosaics/,PT,PORCELAIN,BACKSPLASH/WALL TILE/DECORATIVE MOSAICS - DOMINO COLLECTION,BLACK GLOSSY PENNY ROUND,BLACK GLOSSY PENNY ROUND MOSAIC,MSI,2019 Price list,12-May-17,,,
BLACK MATTE 4X24 BULL NOSE,NBLA4X24BNM,4x24,MATTE,0.35 INCH,0.67,15.00,10.00,EACH,5.26,5.26,,NBLA4X24BNM,https://www.msisurfaces.com/porcelain-domino/black/,PT,PORCELAIN,BACKSPLASH/WALL TILE/DECORATIVE MOSAICS - DOMINO COLLECTION,BLACK MATTE 4X24 BULL NOSE,BLACK MATTE 4X24 BULL NOSE,MSI,2019 Price list,28-Jun-17,,,
BLACK POLISHED 4X24 BULL NOSE,NBLA4X24BNP,4x24,POLISHED,0.35 INCH,0.67,15.00,10.00,EACH,5.26,5.26,,NBLA4X24BNP,https://www.msisurfaces.com/porcelain-domino/black/,PT,PORCELAIN,BACKSPLASH/WALL TILE/DECORATIVE MOSAICS - DOMINO COLLECTION,BLACK POLISHED 4X24 BULL NOSE,BLACK POLISHED 4X24 BULL NOSE,MSI,2019 Price list,28-Jun-17,,,
GRAY GLOSSY 2X4 BEVELED,SMOT-PT-GRAY-2X4B,2x4,GLOSSY,0.24 INCH,0.89,15.00,13.35,EACH,5.44,5.44,,SMOT-PT-GRAY-2X4B,https://www.msisurfaces.com/ceramic-mosaics/gray-subway-tile-2x4-beveled/,MD,PORCELAIN,BACKSPLASH/WALL TILE/DECORATIVE MOSAICS - DOMINO COLLECTION,GRAY GLOSSY 2X4 BEVELED,Gray 2x4x6mm Beveled,MSI,2019 Price list,7-Sep-17,,,
GRAY GLOSSY 3X6,NGRAGLO3X6,3X6,GLOSSY,0.25 INCH,0.13,136.00,17.00,SQFT,2.00,0.25,,NGRAGLO3X6,https://www.msisurfaces.com/ceramic-mosaics/gray-glossy-subway-tile-3x6/,PT,CERAMIC,BACKSPLASH/WALL TILE/DECORATIVE MOSAICS - DOMINO COLLECTION,GRAY GLOSSY 3X6,GRAY GLOSSY 3X6,MSI,2019 Price list,23-Aug-16,,,
GRAY GLOSSY 3X6 (2020),NGRAGLO3X6-N,3X6,GLOSSY,0.33 INCH,0.13,88.00,11.00,SQFT,2.00,0.25,,NGRAGLO3X6-N,#N/A,PT,CERAMIC,BACKSPLASH/WALL TILE/DECORATIVE MOSAICS - DOMINO COLLECTION,GRAY GLOSSY 3X6 (2020),GRAY GLOSSY 3X6,MSI,New Addtion,7-Nov-19,,,
GRAY GLOSSY 3X6 BEVELED,NGRAGLO3X6BEV,3X6,GLOSSY,0.25 INCH,0.13,116.00,14.50,SQFT,2.16,0.27,,NGRAGLO3X6BEV,https://www.msisurfaces.com/ceramic-mosaics/gray-glossy-subway-tile-3x6-beveled/,PT,CERAMIC,BACKSPLASH/WALL TILE/DECORATIVE MOSAICS - DOMINO COLLECTION,GRAY GLOSSY 3X6 BEVELED,GRAY GLOSSY 3X6 BEVELED,MSI,2019 Price list,23-Aug-16,,,
GRAY GLOSSY 3X6 BEVELED (2020),NGRAGLO3X6BEV-N,3X6,GLOSSY,0.33 INCH,0.13,88.00,11.00,EACH,0.27,0.27,,NGRAGLO3X6BEV-N,https://www.msisurfaces.com/ceramic-mosaics/gray-glossy-subway-tile-3x6-beveled/,PT,CERAMIC,BACKSPLASH/WALL TILE/DECORATIVE MOSAICS - DOMINO COLLECTION,GRAY GLOSSY 3X6 BEVELED (2020),GRAY GLOSSY 3X6 BEVELED,MSI,New Addtion,7-Nov-19,,,
GRAY GLOSSY 3X6 BULL NOSE,NGRAGLO3X6BN,3X6,GLOSSY,0.25 INCH,0.13,136.00,17.68,EACH,1.13,1.13,,NGRAGLO3X6BN,https://www.msisurfaces.com/ceramic-mosaics/gray-glossy-3x6-bull-nose/,PT,CERAMIC,BACKSPLASH/WALL TILE/DECORATIVE MOSAICS - DOMINO COLLECTION,GRAY GLOSSY 3X6 BULL NOSE,GRAY GLOSSY 3X6 SINGLE BULL NOSE,MSI,2019 Price list,23-Aug-16,,,
GRAY GLOSSY 3X6 BULL NOSE (2020),NGRAGLO3X6BN-N,3X6,GLOSSY,0.33 INCH,0.13,88.00,11.00,EACH,1.13,1.13,,NGRAGLO3X6BN-N,https://www.msisurfaces.com/ceramic-mosaics/gray-glossy-3x6-bull-nose/,PT,CERAMIC,BACKSPLASH/WALL TILE/DECORATIVE MOSAICS - DOMINO COLLECTION,GRAY GLOSSY 3X6 BULL NOSE (2020),GRAY GLOSSY 3X6 SINGLE BULL NOSE,MSI,New Addtion,7-Nov-19,,,
GRAY GLOSSY 3X6 INVERTED BEVELED,NGRAGLO3X6INVBEV,3X6,GLOSSY,0.25 INCH,0.13,120.00,15.00,SQFT,2.16,0.27,,NGRAGLO3X6INVBEV,https://www.msisurfaces.com/domino/gray-glossy-3x6-inverted-beveled/,PT,CERAMIC,BACKSPLASH/WALL TILE/DECORATIVE MOSAICS - DOMINO COLLECTION,GRAY GLOSSY 3X6 INVERTED BEVELED,GRAY GLOSSY 3X6 INVERTED BEVELED,MSI,2019 Price list,27-Apr-17,,,
GRAY GLOSSY 3X6 INVERTED BEVELED (2020),NGRAGLO3X6INVBEV-N,3X6,GLOSSY,0.33 INCH,0.13,88.00,11.00,SQFT,2.16,0.27,,NGRAGLO3X6INVBEV-N,https://www.msisurfaces.com/domino/gray-glossy-3x6-inverted-beveled/,PT,CERAMIC,BACKSPLASH/WALL TILE/DECORATIVE MOSAICS - DOMINO COLLECTION,GRAY GLOSSY 3X6 INVERTED BEVELED (2020),GRAY GLOSSY 3X6 INVERTED BEVELED,MSI,New Addtion,7-Nov-19,,,
GRAY GLOSSY 4X16,NGRAGLO4X16,4x16,GLOSSY,0.25 INCH,0.44,25.00,11.10,SQFT,1.89,0.84,,NGRAGLO4X16,https://www.msisurfaces.com/ceramic-mosaics/gray-glossy-subway-tile-4x16/,PT,CERAMIC,BACKSPLASH/WALL TILE/DECORATIVE MOSAICS - DOMINO COLLECTION,GRAY GLOSSY 4X16,GRAY GLOSSY 4X16,MSI,2019 Price list,23-Aug-16,,,
GRAY GLOSSY 4X16 (2020),NGRAGLO4X16-N,4x16,GLOSSY,0.33 INCH,0.44,20.00,8.88,SQFT,1.89,0.84,,NGRAGLO4X16-N,https://www.msisurfaces.com/ceramic-mosaics/gray-glossy-subway-tile-4x16/,PT,CERAMIC,BACKSPLASH/WALL TILE/DECORATIVE MOSAICS - DOMINO COLLECTION,GRAY GLOSSY 4X16 (2020),GRAY GLOSSY 4X16,MSI,New Addtion,7-Nov-19,,,
GRAY GLOSSY 4X16 BULL NOSE,NGRAGLO4X16BN,4x16,GLOSSY,0.25 INCH,0.44,25.00,11.11,EACH,2.68,2.68,,NGRAGLO4X16BN,https://www.msisurfaces.com/ceramic-mosaics/gray-glossy-4x16-bull-nose/,PT,CERAMIC,BACKSPLASH/WALL TILE/DECORATIVE MOSAICS - DOMINO COLLECTION,GRAY GLOSSY 4X16 BULL NOSE,GRAY GLOSSY 4X16 SINGLE BULL NOSE,MSI,2019 Price list,23-Aug-16,,,
GRAY GLOSSY 4X16 BULL NOSE (2020),NGRAGLO4X16BN-N,4x16,GLOSSY,0.33 INCH,0.44,20.00,8.88,EACH,2.68,2.68,,NGRAGLO4X16BN-N,https://www.msisurfaces.com/ceramic-mosaics/gray-glossy-4x16-bull-nose/,PT,CERAMIC,BACKSPLASH/WALL TILE/DECORATIVE MOSAICS - DOMINO COLLECTION,GRAY GLOSSY 4X16 BULL NOSE (2020),GRAY GLOSSY 4X16 SINGLE BULL NOSE,MSI,New Addtion,7-Nov-19,,,
GRAY GLOSSY ARABESQUE,NGRAARAG,MISC.,GLOSSY,0.39 INCH,0.77,20.00,15.46,EACH,4.73,4.73,,NGRAARAG,https://www.msisurfaces.com/domino/gray-glossy-arabesque-mosaics/,PT,PORCELAIN,BACKSPLASH/WALL TILE/DECORATIVE MOSAICS - DOMINO COLLECTION,GRAY GLOSSY ARABESQUE,GRAY GLOSSY ARABESQUE MOSAIC,MSI,2019 Price list,12-May-17,,,
GRAY GLOSSY CHAIR RAIL MOLDING,NGRAGLOCHARAI2X6,2x6,GLOSSY,0.35 INCH,N/A,45.00,N/A,EACH,4.47,4.47,,NGRAGLOCHARAI2X6,#N/A,PT,CERAMIC,BACKSPLASH/WALL TILE/DECORATIVE MOSAICS - DOMINO COLLECTION,GRAY GLOSSY CHAIR RAIL MOLDING,GRAY GLOSSY CHAIR RAIL MOLDING 2X6,MSI,2019 Price list,27-Feb-18,,,
GRAY GLOSSY FISH SCALE,NGRAFISG,MISC.,GLOSSY,0.39 INCH,0.76,17.00,12.94,EACH,4.73,4.73,,NGRAFISG,https://www.msisurfaces.com/domino/gray-glossy-fish-scale-mosaics/,PT,PORCELAIN,BACKSPLASH/WALL TILE/DECORATIVE MOSAICS - DOMINO COLLECTION,GRAY GLOSSY FISH SCALE,GRAY GLOSSY FISH SCALE MOSAIC,MSI,2019 Price list,12-May-17,,,
GRAY GLOSSY HERRINGBONE,NGRAHBG,MISC.,GLOSSY,0.39 INCH,0.85,20.00,16.90,EACH,4.73,4.73,,NGRAHBG,https://www.msisurfaces.com/domino/gray-glossy-herringbone-mosaics/,PT,PORCELAIN,BACKSPLASH/WALL TILE/DECORATIVE MOSAICS - DOMINO COLLECTION,GRAY GLOSSY HERRINGBONE,GRAY GLOSSY HERRINGBONE MOSAIC,MSI,2019 Price list,12-May-17,,,
