ghi,Code,Desc,List Price
,GSCM7SDC,GH SCM7 SEDONA CHESTNUT, $31.00 
,GVAR48SDC,GH VAR48 SEDONA CHESTNUT, $16.00 
,GF330SDC,GH F330 SEDONA CHESTNUT, $9.00 
,GF342SDC,GH F342 SEDONA CHESTNUT, $11.00 
,GF396SDC,GH F396 SEDONA CHESTNUT, $35.00 
,GF642SDC,GH F642 SEDONA CHESTNUT, $22.00 
,GBF3SDC,GH BF3 SEDONA CHESTNUT, $16.00 
,GBEP3LSDC,GH BEP3L SEDONA CHESTNUT, $87.00 
,GEP24X35SDC,GH END PANEL 24X35X3/16 SEDONA, $36.00 
,GWEP12X42SDC,GH WALL END PANEL 12X42 SEDONA, $25.00 
,G3X4PANSDC,"GH 3X4X1/4"" ISLAND PANEL SEDONA CH", $77.00 
,GRP84SDC,GH RP84 SEDONA CHESTNUT, $145.00 
,GRP90SDC,GH RP90 SEDONA CHESTNUT, $154.00 
,GRP96SDC,GH RP96 SEDONA CHESTNUT, $163.00 
,GMC3018SDC,GH MC3018 SEDONA CHESTNUT, $158.00 
,GPR3015SDC,GH PR3015 PLATE RACK SEDONA CH, $220.00 
,GWR3015SDC,GH WR3015 SEDONA CHESTNUT, $218.00 
,GSGH30SDC,GH SGH30 SEDONA CHESTNUT, $150.00 
,G1530MDSDC,GH 1530 MULL DOOR SEDONA CH, $97.00 
,G1830MDSDC,GH 1830 MULL DOOR SEDONA CH, $126.00 
,G3030MDSDC,GH 3030 MULL DR SEDONA CHESTNUT, $204.00 
,G3630MDSDC,GH 3630 MULL DR SEDONA CHE, $244.00 
,GDC2430MDSDC,GH DC2430 MULL DR SEDONA CH, $112.00 
,G1536MDSDC,GH 1536 MULL DOOR SEDONA CHESTNUT, $112.00 
,G1836MDSDC,GH 1836 MULL DR SEDONA CHESTNUT, $145.00 
,G3036MDSDC,GH 3036 MULL DR SEDONA CHESTNUT, $236.00 
,G3636MDSDC,GH 3636 MULL DR SEDONA CHESTNUT, $283.00 
,GDC2436MDSDC,GH DC2436 MULL DR SEDONA CHESTNUT, $136.00 
,G1542MDSDC,GH 1542 MULL DOOR  SEDONA CHE, $126.00 
,G1842MDSDC,GH 1842 MULL DR SEDONA CH, $164.00 
,G3042MDSDC,GH 3042 MULL DR SEDONA CH, $268.00 
,G3642MDSDC,GH 3642 MULL DR SEDONA CHESTNUT, $322.00 
,GDC2442MDSDC,GH DC2442 MULL DR SEDONA CHEST, $145.00 
,GDC2742MDSDC,GH DC2742MD SEDONA CHESTNUT, $156.00 
,GCSF36SDC,GH CSF36 SEDONA CHESTNUT, $139.00 
,G30DDSDC,"GH 30"" DECO DR SEDONA CHESTNUT", $78.00 
,G36DDSDC,"GH 36"" DECO DR SEDONA CHESTNUT", $88.00 
,G42DDSDC,"GH 42"" DECO DR SEDONA CHESTNUT", $112.00 
,GBDDSDC,GH BASE DECO DR SEDONA CHESTNUT, $174.00 
,,,
DeptN,Code,Desc,List Price
,GW0930ACW,GHI W0930 ARCADIA WH SHAKER, $120.00 
,GW1230ACW,GHI W1230 ARCADIA WH SHAKER, $140.00 
,GW1530ACW,GHI W1530 ARCADIA WH SHAKER, $151.00 
,GW1830ACW,GHI W1830 ARCADIA WH SHAKER, $176.00 
,GW2130ACW,GHI W2130 ARCADIA WH SHAKER, $186.00 
,GW2430ACW,GHI W2430 ARCADIA WH SHAKER, $215.00 
,GW2730ACW,GHI W2730 ARCADIA WH SHAKER, $235.00 
,GW3030ACW,GHI W3030 ARCADIA WH SHAKER, $237.00 
,GW3330ACW,GHI W3330 ARCADIA WH SHAKER, $253.00 
,GW3630ACW,GHI W3630 ARCADIA WH SHAKER, $270.00 
,GWAC2430ACW,GHI WAC2430 ARCADIA WH SHAKER, $281.00 
,GWBC2730ACW,GHI WBC2730 ARCADIA WH SHAKER, $234.00 
